periodname,city,age,career,surveyed,tested positive,tested negative,treatment eligible,treatment
20-Nov,Tokyo,35-39yrs,astronaut,42,3,2,2,1
20-Nov,Tokyo,15-19yrs,astronaut,37,5,2,1,1
20-Nov,Boston,30-34yrs,astronaut,34,3,27,1,1
21-Feb,Tokyo,15-19yrs,astronaut,33,7,3,1,1
20-Nov,Boston,25-29yrs,astronaut,32,5,31,2,1
20-Oct,Chicago,25-29yrs,astronaut,29,7,6,2,1
21-Feb,Tokyo,35-39yrs,astronaut,28,3,3,1,1
21-Feb,Tokyo,25-29yrs,surgeon,28,2,4,1,1
20-Oct,Chicago,20-24yrs,surgeon,25,2,1,1,1
20-Dec,Tokyo,45-49yrs,astronaut,25,5,9,2,1
21-Jan,Tokyo,35-39yrs,astronaut,21,8,6,6,1
20-Nov,London,25-29yrs,astronaut,21,3,5,3,1
20-Nov,Boston,20-24yrs,astronaut,20,5,11,1,1
20-Nov,Baltimore,20-24yrs,astronaut,17,2,6,2,1
20-Oct,Chicago,35-39yrs,surgeon,15,1,13,1,1
20-Nov,London,35-39yrs,astronaut,15,3,5,10,1
21-Jan,Chicago,25-29yrs,surgeon,14,3,12,5,1
21-Feb,Chicago,30-34yrs,surgeon,13,1,10,2,1
20-Nov,Tokyo,20-24yrs,farmer,13,2,6,2,1
20-Nov,Chicago,25-29yrs,surgeon,13,3,6,1,1
20-Nov,London,30-34yrs,astronaut,13,2,5,6,1
21-Feb,Tokyo,40-44yrs,surgeon,13,3,9,2,1
20-Dec,Chicago,25-29yrs,epidemiologist,12,5,11,3,1
21-Feb,Boston,40-44yrs,surgeon,12,3,7,2,1
20-Dec,Washington D.C.,25-29yrs,astronaut,11,4,15,2,1
21-Mar,Tokyo,40-44yrs,astronaut,11,4,13,2,1
21-Mar,Chicago,30-34yrs,astronaut,11,3,5,2,1
21-Feb,Chicago,40-44yrs,surgeon,11,2,11,2,1
21-Jun,Baltimore,20-24yrs,astronaut,10,4,10,4,1
21-Mar,Chicago,30-34yrs,surgeon,10,2,11,1,1
21-Feb,Boston,45-49yrs,surgeon,10,2,14,1,1
21-Jul,Tokyo,35-39yrs,astronaut,17,2,5,2,1
21-Sep,Philadelphia,20-24yrs,surgeon,16,1,10,1,1
21-Feb,Chicago,25-29yrs,surgeon,19,2,8,1,1
20-Nov,London,25-29yrs,epidemiologist,12,3,11,2,1
20-Oct,Philadelphia,35-39yrs,astronaut,10,3,12,2,1
21-Mar,Chicago,20-24yrs,astronaut,12,1,15,2,1
20-Oct,Chicago,40-44yrs,surgeon,18,1,5,2,1
21-Apr,Tokyo,15-19yrs,astronaut,13,9,13,2,1
