id,Pre-Complete,Post-Complete,Both Complete,Pre-Duration (in seconds),Subspecialty,Year,PreQ1,PreQ2,PreQ3,PreQ4,PreQ5,Post-Progress,Post-Duration (in seconds),Post-Finished,Post-Complete,Post-Please select your gender:,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5
1,Yes,No,,1052,Emergency medicine,5,d) Levofloxacin,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
2,Yes,Yes,1,1045,Emergency medicine,4,d) Levofloxacin,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days,100,778,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
3,Yes,No,,14821,Infectious disease,1,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days,,,,,,,,,,
4,Yes,Yes,1,1602,Infectious disease,2,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,606,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
5,Yes,Yes,1,2580,Infectious disease,2,d) Levofloxacin,a) Cefazolin,c) Cefuroxime,c) Nitrofurantoin,a) 7 days,100,2499,TRUE,Yes,Male,d) Levofloxacin,c) Meropenem,b) Amoxicillin,c) Nitrofurantoin,a) 7 days
6,Yes,Yes,1,2625,Infectious disease,5,b) Linezolid,a) Cefazolin,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,1800,TRUE,Yes,Female,a) Ceftriaxone,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,b) 5 days
7,Yes,Yes,1,3058,Infectious disease,6,b) Linezolid,b) Clindamycin,b) Amoxicillin,c) Nitrofurantoin,b) 5 days,100,14602,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days
8,Yes,No,,981,Infectious disease,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,,,,,,,,,,
9,Yes,No,,797,Infectious disease,1,d) Levofloxacin,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,b) 5 days,,,,,,,,,,
10,Yes,Yes,1,1082,Internal medicine,4,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,798,TRUE,Yes,Male,d) Levofloxacin,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
11,Yes,Yes,1,990,Internal medicine,6,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days,100,1294,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
12,Yes,No,,1053,Internal medicine,5,d) Levofloxacin,d) Linezolid,b) Amoxicillin,d) Ciprofloxacin,a) 7 days,,,,,,,,,,
13,Yes,Yes,1,421,Internal medicine,5,b) Linezolid,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,a) 7 days,100,4869,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,b) 5 days
14,Yes,Yes,1,976,Obstetrics/Gynecology,4,b) Linezolid,c) Meropenem,b) Amoxicillin,d) Ciprofloxacin,a) 7 days,100,436,TRUE,Yes,Male,b) Linezolid,c) Meropenem,c) Cefuroxime,d) Ciprofloxacin,b) 5 days
15,Yes,Yes,1,356,Obstetrics/Gynecology,3,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,434,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
16,Yes,No,,4260,Obstetrics/Gynecology,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,,,,,,,,,,
17,Yes,No,,12037,Obstetrics/Gynecology,4,d) Levofloxacin,d) Linezolid,d) Doxycycline,d) Ciprofloxacin,a) 7 days,,,,,,,,,,
18,Yes,No,,12842,Obstetrics/Gynecology,2,d) Levofloxacin,c) Meropenem,d) Doxycycline,b) Piperacillin-Tazobactam,b) 5 days,,,,,,,,,,
19,Yes,Yes,1,463,Obstetrics/Gynecology,4,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,a) 7 days,100,301,TRUE,Yes,Male,b) Linezolid,c) Meropenem,"a)	Penicillin",d) Ciprofloxacin,a) 7 days
20,Yes,Yes,1,161,Pediatrics,2,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,a) 7 days,100,96,TRUE,Yes,Male,b) Linezolid,a) Cefazolin,b) Amoxicillin,a) Levofloxacin,a) 7 days
21,Yes,No,,490,Pediatrics,5,b) Linezolid,c) Meropenem,c) Cefuroxime,c) Nitrofurantoin,d) 10 days,,,,,,,,,,
22,Yes,No,,8487,Pediatrics,6,b) Linezolid,c) Meropenem,d) Doxycycline,d) Ciprofloxacin,c) 14 days,,,,,,,,,,
23,Yes,Yes,1,1152,Pediatrics,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days,100,925,TRUE,Yes,Female,b) Linezolid,d) Linezolid,b) Amoxicillin,c) Nitrofurantoin,a) 7 days
24,Yes,Yes,1,1629,Pediatrics,5,b) Linezolid,c) Meropenem,c) Cefuroxime,d) Ciprofloxacin,a) 7 days,100,2944,TRUE,Yes,Male,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,a) 7 days
25,Yes,Yes,1,2208,Pediatrics,5,b) Linezolid,c) Meropenem,d) Doxycycline,c) Nitrofurantoin,b) 5 days,100,5015,TRUE,Yes,Female,b) Linezolid,a) Cefazolin,d) Doxycycline,c) Nitrofurantoin,b) 5 days
26,Yes,Yes,1,1616,Pediatrics,4,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,b) 5 days,100,593,TRUE,Yes,Female,b) Linezolid,c) Meropenem,"a)	Penicillin",c) Nitrofurantoin,a) 7 days
